path,class,machine,endian,soname,needed,sha256,size
lib/libbt-iopdb_mod.so,ELF32,ARM,little,libbt-iopdb_mod.so,libc.so;libcutils.so;libicuuc.so;libm.so;libstdc++.so,a380ae4006304edf0ab6386e5d67687de7771cd362643e5d2ba9b443dec315a6,9336
lib/libbt-vendor.so,ELF32,ARM,little,libbt-vendor.so,libc.so;libcutils.so;liblog.so;libm.so;libstdc++.so,b451ef165ee5316d13f1154af5d5a69b4a748e0e51a74d5d914e53886b786c04,22252
lib/libcalibration.so,ELF32,ARM,little,libcalibration.so,libc.so;libcutils.so;liblog.so;libm.so;libstdc++.so;libutils.so,f8c85f5d0a1fd5c02d865c57c1aaf0465be3bd4973f99d78f955d528651aa52f,48272
lib/libcc_manager.so,ELF32,ARM,little,libcc_manager.so,libc.so;libcutils.so;libm.so;libstdc++.so,09389c7cd28f5e5f9e7c79baa9eb5288c278963b5070d78bcab37335f8e71021,5184
lib/libcharon.so,ELF32,ARM,little,libcharon.so,libc.so;libcrypto.so;libcutils.so;libhydra.so;liblog.so;libm.so;libstdc++.so;libstrongswan.so,cc8b927adffb378070428570bdb9d4fce997b6c147c8a9e2c14d785651ac0dfb,515756
lib/libcrptoo.so,ELF32,ARM,little,libcrypto.so,libc.so;libdl.so;liblog.so;libm.so;libstdc++.so,bbc4d7744c65ed120c873d634594f4ce572b221a93f5dbfa6ef29679518e781f,999360
lib/libdeflicker.so,ELF32,ARM,little,libdeflicker.so,libc.so;libcutils.so;liblog.so;libm.so;libstdc++.so;libutils.so,e9cbed282be2d19725c278f09a4635da6ed853c9814b13838bcd6d3ad5290e2d,17540
lib/libedmnativehelper.so,ELF32,ARM,little,libedmnativehelper.so,libbinder.so;libc.so;libcutils.so;libm.so;libstdc++.so;libutils.so,df80da769dd4c2f5074bfe894e3278142435c410a080cb9f9baf5bd832c7be80,25816
lib/libefuse.so,ELF32,ARM,little,libefuse.so,libc.so;libcutils.so;liblog.so;libm.so;libstdc++.so,151d23353347bd0444a56b9d13671424ab35217a340966c19939b72da15e980e,9324
lib/libengbt.so,ELF32,ARM,little,libengbt.so,libc.so;libcutils.so;libhardware.so;libhardware_legacy.so;libm.so;libstdc++.so;libutils.so,95b9df6720a89a1b0f21fd87903846f4bd9cba65335549ce40640e76525995ec,13568
lib/libfactoryutil.so,ELF32,ARM,little,libfactoryutil.so,libc.so;libcutils.so;libdl.so;libm.so;libpower.so;libstdc++.so;libstlport.so;libutils.so,a751db9f023497c97587edc6d502b20b6924af4b18f0ed3115509028466cbae6,21616
lib/libgpspc.so,ELF32,ARM,little,libgpspc.so,libc.so;libcutils.so;libdl.so;liblog.so;libm.so;libstdc++.so;libutils.so,e59f0a38188ff83a919a60a27ff6e3ad78095888c05e778db808bbc97f9d562a,17684
lib/libhydra.so,ELF32,ARM,little,libhydra.so,libc.so;libm.so;libstdc++.so;libstrongswan.so,d07abad8bfe7d659eacc267a31010858527813c9001b92a67bfc89c12e7b8929,71336
lib/libicuoc.so,ELF32,ARM,little,libicuuc.so,libc++.so;libc.so;libdl.so;libm.so,ace30f8cb41d6d374b2cdde92545bbeb883d2f32228a59fe947bc6c4892e6561,1128028
lib/libiwnpi.so,ELF32,ARM,little,libiwnpi.so,libc.so;libcutils.so;libm.so;libstdc++.so;libutils.so,9a53fa5244ebc1fa76c6bd70835b28b512d1623c9f38e0c733cdbbb18f397d02,69176
lib/liblsc.so,ELF32,ARM,little,liblsc.so,libc.so;libcutils.so;liblog.so;libm.so;libstdc++.so;libutils.so,ffb1121c2485017a3e41857030f311fa67f1424394814bed13611ff62f0ff39c,17972
lib/libmaet.so,ELF32,ARM,little,libmaet.so,libc.so;libdl.so;liblog.so;libm.so;libstdc++.so;libsxqk_skia.so,c17c415ca36a976be93ab2a9c0687b76c88346e1500a14a1d39bfc23e1664fce,308744
lib/libmemoryheapion.so,ELF32,ARM,little,libmemoryheapion.so,libc.so;libcutils.so;liblog.so;libm.so;libstdc++.so;libutils.so,7653c08e559ce99add2f2f9fa85c2e5dd5c38842e6419e72093b30e7b3609166,13428
lib/libnvexchange.so,ELF32,ARM,little,libnvexchange.so,libaudioutils.so;libc.so;libcutils.so;libdl.so;libexpat.so;libhardware_legacy.so;liblog.so;libm.so;libstdc++.so;libtinyalsa.so,822143a14be9f86cc8620122808d43b4289f578666a025dcdf96a8cac5f51334,17516
lib/libomission_avoidance.so,ELF32,ARM,little,libomission_avoidance.so,libc.so;libcutils.so;libfactoryutil.so;libm.so;libpower.so;libstdc++.so;libutils.so,5265892fe4844032228d90ece29e5835e885586540d80cf8e32e185181ce8e17,9328
lib/libomx_aacdec_sprd.so,ELF32,ARM,little,libomx_aacdec_sprd.so,libc.so;libm.so;libstdc++.so,f059786835c6ea8172f43ad78e6e4db6ed383f3c313eac03b7f99e590a43dc6c,138104
lib/libomx_avcdec_hw_sprd.so,ELF32,ARM,little,libomx_avcdec_hw_sprd.so,libc++.so;libc.so;libcutils.so;libdl.so;liblog.so;libm.so;libutils.so,c8adf87ee2ca1de055bc2945c541603a123fc336bd1c8872f650eff6ac8917fb,116852
lib/libomx_avcdec_sw_sprd.so,ELF32,ARM,little,libomx_avcdec_sw_sprd.so,libc++.so;libc.so;libcutils.so;libdl.so;liblog.so;libm.so;libutils.so,e543aaac2d9e122e4492493c5c51bd3473c45058f96fe5126de12ec40910c35b,190100
lib/libomx_avcenc_hw_sprd.so,ELF32,ARM,little,libomx_avcenc_hw_sprd.so,libc++.so;libc.so;libcutils.so;libdl.so;liblog.so;libm.so;libutils.so,65364b14dc6659238ef15380e83dd92e6e9df103551728fe4beed2389a9309ba,87712
lib/libomx_m4vh263dec_hw_sprd.so,ELF32,ARM,little,libomx_m4vh263dec_hw_sprd.so,libc++.so;libc.so;libcutils.so;libdl.so;liblog.so;libm.so;libutils.so,b0d270328e6f44228a4810ef4c546becf85b1bb5f4d31bcb309813f0027c464e,43712
lib/libomx_m4vh263dec_sw_sprd.so,ELF32,ARM,little,libomx_m4vh263dec_sw_sprd.so,libc++.so;libc.so;libcutils.so;libdl.so;liblog.so;libm.so;libutils.so,d0de1bfc9d158fa7351b1ed96ff1cfae3485b80c0a96c082fd219b3c948354ad,99960
lib/libomx_m4vh263enc_hw_sprd.so,ELF32,ARM,little,libomx_m4vh263enc_hw_sprd.so,libc++.so;libc.so;libcutils.so;libdl.so;liblog.so;libm.so;libutils.so,91eb5c1dd59407e68b31ea3cb402d15b2c510179e512ab781f710e6f1b61eb73,39444
lib/libomx_mp3dec_sprd.so,ELF32,ARM,little,libomx_mp3dec_sprd.so,libc++.so;libc.so;libdl.so;libm.so,f21067387141b3f921a3151f3e273e3463371e2b44e9013df0635499dc8a3f18,54804
lib/libomx_vpxdec_hw_sprd.so,ELF32,ARM,little,libomx_vpxdec_hw_sprd.so,libc++.so;libc.so;libcutils.so;libdl.so;liblog.so;libm.so;libutils.so,333eb56b12bb85557c6d7590e7e12bac2dc076f80510e9a1bb6d582814674ff0,42516
lib/libool.so,ELF32,ARM,little,libssl.so,libc.so;libcc_manager.so;libcrypto.so;liblog.so;libm.so;libstdc++.so,ca62f4177e721cb2c8090003dd97770c641d791efdfd63a1ed2934cb0ef1085f,261992
lib/libQjpeg.so,ELF32,ARM,little,libQjpeg.so,libc.so;libdl.so;libjnigraphics.so;liblog.so;libm.so;libstdc++.so,8079ef4742ad28350a5190d88511204c9510ecdda9c067bf5df46c88630d5368,885616
lib/libQmageDecoder.so,ELF32,ARM,little,libQmageDecoder.so,libc.so;libdl.so;libjnigraphics.so;liblog.so;libm.so;libstdc++.so;libz.so,899904293fdb047774c773ea9d5f7327439cde8414fa491faa415b27a00845bc,618728
lib/librilutils.so,ELF32,ARM,little,librilutils.so,libc.so;libm.so;libstdc++.so,8e2dda77fa7280ee32ad6ab81ec82a9ffb17cadcec582c9d9573658a0f1aa744,5136
lib/libsamsungRecord.so,ELF32,ARM,little,libsamsungRecord.so,lib_SamsungRec_V04013.so;libc.so;libcutils.so;libm.so;libstdc++.so;libutils.so,7d151a4280d8290011ed6a111deb0816671ad3633f96306a0a6a569668dbdc32,9280
lib/libsamsungSoundbooster.so,ELF32,ARM,little,libsamsungSoundbooster.so,lib_Samsung_SB_AM_for_ICS_v04004.so;libc.so;libm.so;libstdc++.so;libutils.so,0b3c2a386a422c1435bff9a1731c2104ef675a7a9ff1da3eca0e33c540d7b464,9280
lib/libseccamera_jni.so,ELF32,ARM,little,libseccamera_jni.so,libandroid_runtime.so;libbinder.so;libc.so;libcamera_client.so;libcutils.so;libgui.so;libm.so;libmedia.so;libnativehelper.so;libstdc++.so;libutils.so,e24c19c1dacdc10f5d8cc37d889195fa85134afc28ce1833f8a788eec1ae04a1,30548
lib/libseccameracore.so,ELF32,ARM,little,libseccameracore.so,libEGL.so;libGLESv1_CM.so;libGLESv2.so;libandroid.so;libarccamera.so;libarcsoft_panorama_burstcapture.so;libarcsoft_selfie_camera_lite.so;libarcsoft_sensorndk.so;libbinder.so;libc.so;libcamera_client.so;libcutils.so;libdl.so;libdmcFaceEngine.so;libedmnativehelper.so;libexifa.so;libgui.so;libhardware.so;libjpeg.so;libjpega.so;libm.so;libmedia.so;libnbaio.so;libpalmMobileDetectorFull.so;libquramresize.so;libsecface.so;libsecjpeginterface.so;libstdc++.so;libui.so;libutils.so,aafb0be49ceffc7cafbd4539c5b881567d7f6012ec371ff77df909548a9acbd3,181472
lib/libsecnativefeature.so,ELF32,ARM,little,libsecnativefeature.so,libc.so;libexpat.so;libm.so;libstdc++.so;libstlport.so,d986a023599ba415983eb7ee2c32af5a09e2422b4236059479a495f18814a352,13420
lib/libsecril-client.so,ELF32,ARM,little,libsecril-client.so,libbinder.so;libc.so;libcutils.so;libhardware_legacy.so;libm.so;libstdc++.so;libutils.so,8a15acf27a88be5887025511260e822b8ec9e5b7008945040ed12f46fafa3a19,17520
lib/libsecure_storage.so,ELF32,ARM,little,libsecure_storage.so,libc.so;libdl.so;liblog.so;libm.so;libstdc++.so,ffd189bc6d7751a6cdc9f9ac1e5094f09e07b00ced16f88e2f3804d6a4530453,259380
lib/libsft_af_ctrl.so,ELF32,ARM,little,libsft_af_ctrl.so,libAF.so;libaf_tune.so;libc.so;libdl.so;libm.so;libstdc++.so,35a5d50aaa9a52f72b287b09559b924e79f4dd54d7adc1777a75c9d69a27e49a,21644
lib/libspaf.so,ELF32,ARM,little,libspaf.so,libc.so;libcutils.so;liblog.so;libm.so;libstdc++.so;libutils.so,56f2ad2d3c0aa289b57e4a9b92a0f9466ee466096c25e36beeb240c52afa203a,25736
lib/libsprdlsc.so,ELF32,ARM,little,libsprdlsc.so,libc.so;libcutils.so;libm.so;libstdc++.so;libutils.so,b5b21602613c8a70238e478ed86a3012f70d1e30928a48a95c40becb4895f306,29880
lib/libstlport.so,ELF32,ARM,little,libstlport.so,libc.so;libm.so;libstdc++.so,d07d82c81e83301f75b39bb67e3dd263f2e2328c8a333e66594f1635da0dc229,234836
lib/libstrongswan.so,ELF32,ARM,little,libstrongswan.so,libc.so;libcrypto.so;libcutils.so;libdl.so;libm.so;libssl.so;libstdc++.so;libz.so,92a430a561e9fad296e2c2b6fa645a34838e398286ad433deda9ae32cce41f60,614004
lib/libsxqk_skia.so,ELF32,ARM,little,libsxqk_skia.so,libc.so;libdl.so;liblog.so;libm.so;libstdc++.so,a61d35fb40069fe1b31dab13d99d802891c4bba4e940a56ffdbfd18e4a753fb3,91716
lib/libvbeffect.so,ELF32,ARM,little,libvbeffect.so,libc.so;libcutils.so;liblog.so;libm.so;libnvexchange.so;libstdc++.so;libtinyalsa.so,536454f1401bdae724c1b40c9320d472383a9257530adf1f51c20503ee5869df,58480
lib/libvbpga.so,ELF32,ARM,little,libvbpga.so,libaudioutils.so;libc.so;libcutils.so;libdl.so;libexpat.so;libhardware_legacy.so;liblog.so;libm.so;libstdc++.so;libtinyalsa.so,f382aeb4682b2e04a93a9fee9e77537e8473f4c92e7a8a7cfb5f5ad0cb1070d1,13324
lib/libwrappergps.so,ELF32,ARM,little,libwrappergps.so,libbinder.so;libc.so;libcutils.so;libdl.so;libgui.so;libhardware_legacy.so;libm.so;libril.so;libsec-ril.so;libsecril-client.so;libsqlite.so;libstdc++.so;libutils.so,58a7cdf7ac7b73c921319fe7ebad0ea1261ead1c02ad3c7189aba151bddd42c3,25708
lib/libynoise.so,ELF32,ARM,little,libynoise.so,libbinder.so;libc.so;libcutils.so;liblog.so;libm.so;libstdc++.so;libui.so;libutils.so,dde84e73d2f87bbf918be043111884e52a3dbd1a65e581447ff6e9e4796bdbcb,9320
sbin/sswap,ELF32,ARM,little,,,cbada9f390d5eb00b080ce69b31059bcfe25229d7a0b45226cc0fa8fdbaf25b3,161504
vendor/lib/drm/libdrmwvmplugin.so,ELF32,ARM,little,libdrmwvmplugin.so,libQSEEComAPI.so;libWVStreamControlAPI_L1.so;libbinder.so;libc++.so;libc.so;libcutils.so;libdl.so;liblog.so;libm.so;libutils.so;libwvdrm_L1.so;libz.so,8665c48df0954b1df6c9c0d2f7d926bf01b89f6d6a82aafa611eaaadfd6e5b92,128668
vendor/lib/libwvdrm_L1.so,ELF32,ARM,little,libwvdrm_L1.so,libWVStreamControlAPI_L1.so;libc++.so;libc.so;libcutils.so;liblog.so;libm.so;libutils.so;libz.so,4d97453586820981544fff324ed2bc260a3d6726f716744eeb2ef26ce7702bb2,75236
vendor/lib/libwvm.so,ELF32,ARM,little,libwvm.so,libQSEEComAPI.so;libWVStreamControlAPI_L1.so;libbinder.so;libc++.so;libc.so;libcutils.so;libdl.so;libdrmframework.so;liblog.so;libm.so;libmedia.so;libstagefright.so;libstagefright_foundation.so;libutils.so;libz.so,5e326fb7418e59df476a37b72c9d2244d5d9b12b7ad4d9cabe713e74a31a90f4,95840
vendor/lib/libWVphoneAPI.so,ELF32,ARM,little,,libc.so;libdl.so;liblog.so;libm.so,0d5acbc1a76d6c2f33819111ad97bd3cb8039a6ef926c4df6552c4516fa52e17,830276
vendor/lib/libWVStreamControlAPI_L1.so,ELF32,ARM,little,libWVStreamControlAPI_L1.so,libc++.so;libc.so;libcutils.so;libdl.so;liblog.so;libm.so;libnetutils.so;libutils.so;libz.so,d164eb14c4e18ea2d59f58610ce42d7464f75e5e63aa652a654032397318e039,2405772
vendor/lib/mediadrm/libdrmclearkeyplugin.so,ELF32,ARM,little,libdrmclearkeyplugin.so,libc++.so;libc.so;libcrypto.so;libdl.so;liblog.so;libm.so;libstagefright_foundation.so;libutils.so,5f1dfce3c8622f805a05fe03c50bd8635305db0413ba434d7ff328edfad4fecd,38500
vendor/lib/mediadrm/libwvdrmengine.so,ELF32,ARM,little,libwvdrmengine.so,libc++.so;libc.so;libcutils.so;libdl.so;liblog.so;libm.so;libprotobuf-cpp-lite.so;libstagefright_foundation.so;libutils.so,cb44312147aac4e0d662813f0613684c7ca9e7419034b0c340692da67bc08aae,1420008
